song_id;title;genre;Рік запису;Хто записав;Місце запису;Респондент;Вік респондента/рік народження
5.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО СОКОЛА (НЕВОЛЬНЫЦЬКА);дума;20 травня 1876 р.;Мартинович П.;м. Лохвиця Полтавської губернії (нині Миргородсього району Полтавської області);Кравченко І.;1820 р.
5.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;;;;;
5.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;НЕВОЛЬНИЦЬКА;дума;;Чубинський П., Русов О.;с. Калюжинці Прилуцького повіту Полтавської губернії (нині Прилуцький район Чернігівська область);Вересай О.;
5.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;СОКОЛОВА ПИСНЯ;дума;1890-1900 рр.;Мартинович П.;с. Кам'янка;;
6.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ФЕДОРЪ БЕЗРОДНЫЙ;дума;поч. ХІХ ст.;Ломиковський В.;Полтавщина;кобзар Іван;
6.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;СМЕРТЬ ФЕДОРА БЕЗРОДНАГО;дума;1814 р.;Цертелєв М.;Миргородщина Полтавської губернії;невідомий кобзар;
6.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ХВЕДОРА БЕЗРИДНОГО-БЕЗПЛЕМИННОГО;дума;поч. 1850 рр.;Білозерський М.;с. Британи Борзенського повіту на Чернігівщині (нині с. Дуболугівка Ніжинського району Чернігівської області);Романенко І.;
6.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;вересень 1853 р.;Куліш П.;Олександрівка Сосницького повіту на Чернігівщині (нині Корюківського району Чергінігівської області);Шута А.;
6.5а_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДУМА ПРО ХВЕДОРА БЕЗРОДНОГО;дума;;Русов О.;с. Калюжинці Прилуцького повіту Полтавської губернії (нині Прилуцький район Чернігівська область);Вересай О.;
6.5б_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ДУМА ПРО ХВЕДОРА БЕЗРОДНОГО;дума;;Лисенко М.;с. Калюжинці Прилуцького повіту Полтавської губернії (нині Прилуцький район Чернігівська область);Вересай О.;
6.6_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ХВЕДОР БЕЗРІДНИЙ;дума;1882 р.;Горленко В.;Лохвиця ;Кравченко-Крюковський І.;
6.7_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ФЕДОРА БЕЗРОДНОГО;дума;жовтень 1902 р.;Сперанський М., Бакалов Г., Данилов В.;с. Волосківці Соснинського повіту (нині Корюківський район) на Чернігівщині;Пархоменко Т.;
6.8_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ХВЕДОРА БЕЗРІДНОГО;дума;20 травня 1876 р.;Мартинович П.;Лохвиця на Приліпці;Кравченко-Крюковський І.;
6.9_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ХВЕДИРЪ СЫРОТА БЕЗРИДНЫЙ;дума;кін. ХІХ - поч. ХХ ст.;Мартинович П.;Миколаївка;Кобиланка О. ;
6.10_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ХВЕДИРЪ – СЫРОТА БЕЗРИДНЫЙ;дума;кін. ХІХ - поч. ХХ ст.;Мартинович П.;Миколаївка;Кобиланка О. ;
6.11_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КОЗАКА ЛЫЦАРЯ ХВЕДОРА ПИСЬНЯ;дума;кін. ХІХ - поч. ХХ ст.;Мартинович П.;;;
6.12_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КОЗАКА ЛЫЦАРЯ ХВЕДОРА ПИСЬНЯ;дума;січень 1903 р.;Мартинович П.;;Бондаренко М.;
6.13_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ХВЕДИРЪ БИЗРИДНЫЙ;дума;;Мартинович П.;;;
6.14а_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ФЕДОРА БЕЗРОДНОГО;дума;березень 1987 р.;Грица С.;;Ткаченко Г.;
6.14б_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ФЕДОРА БЕЗРОДНОГО (ПРО ХВЕДОРА БЕЗДОЛЬНОГО);дума;березень 1987 р.;Грица С.;;Ткаченко Г.;
6.14в_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО ФЕДОРА БЕЗРОДНОГО;дума;березень 1987 р.;Грица С.;;Ткаченко Г.;
7.1_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КИШКА САМЫЙЛО;дума;поч. ХІХ ст.;Ломиковський В.;Полтавщина ;кобзар Іван;
7.2_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;САМОЙЛО КИШКА (ОТРЫВОКЪ);дума;бл. 20 липня 1832 р.;Лукашевич П.;поблизу м. Ромни Полтавської Губернії;Стрічка І.;
7.3_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КИШКА САМІЙЛО;дума;20 травня 1876 р.;Мартинович П.;Лохвиця на Приліпці;Кравченко-Крюковський І.;
7.4_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;;дума;перед 1882-1883 рр.;Зайкевич А.;Лубенський повіт Полтавської губернії;;
7.5_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;САМІЙЛО КІШКА;дума;поч. 80-х рр. ХІХ ст.;Горленко В.;;Кравченко-Крюковський І.;
7.6_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КОШКА САМОЙЛО;дума;29 травня 1892 р.;Мартинович П.;с. Миколаївка Полтавської губернії;Кобиланка О. ;
7.7_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КИШКА САМІЙЛО;дума;1901 р.;Мартинович П.;с. Миколаївка Полтавської губернії;Кобиланка О. ;
7.8_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КИШКА САМІЙЛО;дума;1901 р.;Мартинович П.;с. Миколаївка Полтавської губернії;Кобиланка О. ;
7.9_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КОЗАКА КИШКЫ САМІЙЛА ПИСЬНЯ;дума;20 січня 1903 р.;Мартинович П.;с. Кам'янка Полтавської губернії (нині Полтавського району Полтавської області);Бондаренко М. (Бондаренчиха, Гнатиха);
7.10_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПРО КІШКУ САМІЙЛА;дума;1909 р.;Сластіон О.;с. Лелюхівка Кобеляцького повіту Полтавської губернії (нині Новосанжарського району Полтавської області);Скубій І.;
7.11_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;ПИСНЯ ПРО СЛАВНОГО ГЕТЬМАНА ЗАПОРИЗЬКОГО КИШКУ САМІЙЛА;дума;3-5 грудня 1928 р.;Мартинович П.;с. Ряське Полтавської губернії (нині Полтавського району Полтавської області);Радченко М.;
7.12_Dmytrenko, Dovzhenok, Hrytsa_2009_Thoughts of the early Cossack period;КИШКА САМІЙЛО;дума;25 лютого 1932 р.;Мартинович П.;;Жадан Т.;
